,type,category,review,star
1,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"보다나 고데기 신세계네요. 머리가 깔
보다나 고데기 신세계네요. 머리가 깔끔하게 정돈 되면서 굵은 웨이브라서 자연스러워요
처음 사용하는거라서 조심스러워서 강하게 안하고 살짝씩만 찝어줘 봤는데 머릿결 손상도 없고 굉장히 자연스러운 연출을 할 수 있어서 좋았답니다.
고데기 하고 나서 웨이브 유지되는 시간도 길어서 금방 풀리거나 하지 않는 점이 맘에 들어요
여러 굵기중에 이 굵기를 선택하기를 잘 한거 같아요
너무 촘촘한 웨이브는 부담스러워서 자연스러운 물결머리를 원했거든요
웨이브를 더 굵게 하고 싶으면 고데기 집었던 간견을 멀리 띄우면 더 굵게 되기도 하고 간견을 바짝 붙히면 좀더 촘촘한 웨이브도 연출 할 수 있더라구요
저처럼 머리 잘 못 만지는 빠르고 자연스러운 연출을 할 수 있는점이 좋습니다
분들은 훨씬 더 예쁠거예요
고데기 웨이브 잡는 앞쪽이 두껍다 보니 좀 무게가 있긴하지만 쓸만해요
웨이브 위쪽은 뜨거우니까 조심하세요
장갑이랑 머리집게도 들어 있어서
저는 고데기를 나란히 평면으로 집어줘서 머리결이 전체적으로 같은 물결이 동일하게 나왔지만 고데기를 비스듬하게 해서 열을 가해주면 훨씬더 자연스러운 웨이브를 만들 수도 있네요
사진의 ㅡ 노란머리는 고데기로 가볍게 열을 가열해서 바로 찍어 본 사진이에요
사진의 ㅡ 검정머리는 정식으로 한건 아니고 전날 저녁에 시범 삼아 가볍게 고데기로 집어줘 봤는데, 하루 자고나면 다 풀릴 줄 알았는데 안풀려서 그대로 외출했어요
이사진은 다음날 오후사진이구요. 오른쪽 머리쪽은 아주 살짝 댔다가 뗐더니 좀 약하게 나왔어요.
고데기 한 다음날 저녁에 머리 감기 전까지 약간풀리긴 했지만, 웨이브가 잘 유지가 되더라구요
당일 웨이브는 진짜 잘 안풀리고 유지됐어요
단, 비오는날 습도 높은날은 풀리겠죠
고데기 하기전에 에센스 발라서 머릿결 보호 하고 사용하세요. 그럼 머리결어 윤기가 흐르네요
고데시 감은머리를 덜 말리고 사용하면 머릿결 상하는건 다 아시죠? 잘 말리시고 사용하세요^^",평점5
2,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"평소 보다나 덕후라 이번에 보다나에서 물결고데기가 나왔다는 소식을 듣고 얼른~! 40mm로 겟해보았습니다. 저는 머리가 긴편이라 봉고데기도 평소엔 40mm를 사용해서 물결 고데기도
평소 보다나 덕후라 이번에 보다나에서 물결고데기가 나왔다는 소식을 듣고 얼른~! 40mm로 겟해보았습니다. 저는 머리가 긴편이라 봉고데기도 평소엔 40mm를 사용해서 물결 고데기도 40mm로 선택했습니다! 요새 여름이라 더더욱 힙하고 사랑스러운 느낌의 물결펌이나 히피펌이 유행인데, 아무래도 제가 원체 반곱슬에 숱도 많은 편이라 실제 물결펌이나 히피펌 같은 느낌의 펌을 하면 엄청 부시시한 해그리그가 되거든요.. 그런분들에게 가끔 나도 물결 느낌의 헤어 스타일링을 하고싶다!! 하는 분들에게 추천드립니다!! 아주아주 간단해서 고데기를 잘 못하시는 분들도 쉽게 하실수 있을거 같아요^^
특히 저처럼 머리숱이 많으신분들은 머리를 3섹션으로 나눠서 집게핀으로 집은 후 차근차근 집어주세요! 발열판이 넓고 큼직해서 꽤 많은 머리숱을 한꺼번에 집어서 사용해도 금방 예쁜 물결 웨이브가 나옵니다! 그리고 열판이 세라믹 열판에, 밖으로 열판이 노출되지 않는 스타일이라 . 조금더 힘을 눌러 잡고 싶은 분들은 물결 고데기 제일 윗끝부분은 많이 뜨겁지 않기 때문에 집게 손가락으로 살짝씩 눌러가면서 집어주시면 저 힘있게 집어집니다!
인위적이지 않고 러블리한 느낌을 간단히 고데기로 내시고 싶으신 분들은 40mm 물결고데기 ㅎㅎㅎ 빠르고 쉽게 셀프 스타일링을 할 수 있고,
물결펌도 부담스럽지 않은 정도로 나오기 때문에 딱이에요~!!!",평점5
3,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"고데기는 전부 보다나제품으로 가지고있어요판고데기,봉고데기36mm 로 가지고있는데 물결고데기는 40mm라서 그런지 손에 들고 머리를 했을때 확실히 묵직하더라구요. 그리고 머리하면서
고데기는 전부 보다나제품으로 가지고있어요
판고데기,봉고데기36mm 로 가지고있는데 물결고데기는 40mm라서 그런지 손에 들고 머리를 했을때 확실히 묵직하더라구요. 그리고 머리하면서 이리저리 움직이다보면 손이 전원버튼을 누르게되요.. 그래서 온도가 설정해둔 온도에서 한단계씩 올라가게되서 다시 여러번눌러 온도조정해줘야되는 작은 불편함이 있네요. 봉고데기는 전원버튼이 위아래로 올렸다내렸다하는 버튼이 있고, 온도조정하는버튼도 다이얼식으로 돌리게끔 따로 나뉘어 되있어서 고데기 조작하다가 잘못눌러지거나 그런일은 없거든요~ 물결고데기는 이게 좀 불편한거같아요ㅠ 아무래도 그립도 그렇고 능숙한게 아니니까 자꾸 전원버튼을 눌리게되는거 말곤 무게가 묵직해도 두~ 그리고 40mm~ 전 긴생머리인데 머리가 기신분들은 자연스럽게 물결하고싶으심 한번찝고 끝나는지점 아래 바로 찝지마시고 간격을 좀 더 띄워서 다시 시작하시는게 빠글빠글 안되고 더 자연스럽게 되는거같아요~ 전 서툴러서 타이트하게 찝었더니 치즈인더트랩 홍설역 김고은님 머리스탈처럼 되서..놀랐어요ㅋㅋㅋ",평점5
4,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"한달 후기를 쓰자면제가 기존에 산 스프링 컬렉션 >초록색은지금 나온 파란색보다 무거워요그리고 색상은 예쁘지만 금방 때가 타는데이 크리미 블루는 조금 더 가볍고 스크래치도 좀
한달 후기를 쓰자면
제가 기존에 산 스프링 컬렉션 >초록색은
지금 나온 파란색보다 무거워요
그리고 색상은 예쁘지만 금방 때가 타는데

이 크리미 블루는 조금 더 가볍고 스크래치도 좀 덜나고 때도 덜타요

1만원 정도 차이 나는 것 같은데 ㅠㅡㅠ 이걸로 살걸 싶어요
분명 색깔 차이라 생각했는데
역시 꼼꼼하게 확인 안 하고 산 제 잘못이죠
그래도 진짜 보다나다 물론 기존의 봉고데기도 잘 썼는데

- 일단 머리 상하는 건 어쩔 수 없을 것 같고요
- 40mm지만 머리 길이에 따라 또 모발양 따라 조금씩 다르게 나올 것 같아요
모발에 힘이 있는 사람은 좀 탱글탱글한데
가늘고 쳐질 모발은 확실히 금방 가라 앉아요
근데도 자연스럽게 날리듯한 표현이라 괜춘합니다",평점5
5,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"예전부터 갖고싶어서 눈여겨보다 보통 고데기에 비해 가격이 좀 부담되어 미루다 이번에 구매하게 됐어요... 구매를 미룬 제가 너무 후회될정도로 만족합니다.ᐟ.ᐟ.ᐟ 평소에 금손 소리
예전부터 갖고싶어서 눈여겨보다 보통 고데기에 비해 가격이 좀 부담되어 미루다 이번에 구매하게 됐어요... 구매를 미룬 제가 너무 후회될정도로 만족합니다.ᐟ.ᐟ.ᐟ 평소에 금손 소리 꽤 듣는데도 판고데기로 물결을 살리기 쉽지 않아서 여러 물결 고데기 찾아봤었거든요 근데 물결이 다 너무 촘촘한 히피펌 느낌이 많아서 두꺼워보이는 이걸로 구매했는데 적당히 예쁜컬 나옵니다.ᐟ.ᐟ 오자마자 시험삼아 한번 말아본건데 이걸로 머리 셋팅하니 30분도 안걸리더라고요 적응하면 더 빨리 더 예쁘게 할수 있을거같아요ㅎㅎ 리뷰에 조금 무겁다는 얘기가 많아서 걱정을 했는데 저는 그렇게 무겁진 않았어요.ᐟ 당연히 롤 두개를 붙여놓으니 고데기 두배정도의 무게이긴 하나 사용이 어려울정도로 무겁거나 그러진 않아요ㅎㅎㅎ 앞으로 잘 사용할것 같습니다♥",평점5
6,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"굵은 느낌에 웨이브 느낌 주고 싶어서찾아보다가 물결고데기 보고 구매했어요:) 보다나 고데기는 💗판고데기,봉36mm,봉40mm💗종류별로 가지고 있는 애정템이라 고민 없이 바로구매
굵은 느낌에 웨이브 느낌 주고 싶어서
찾아보다가 물결고데기 보고 구매했어요:)
보다나 고데기는 💗판고데기,봉36mm,봉40mm💗
종류별로 가지고 있는 애정템이라
고민 없이 바로구매 했어요:)
저는 중안부가 긴느낌에 얼굴이라서
머리밑단보다 얼굴옆라인이 풍성한게
더 잘어울리는 타입인대 엄청잘 어울리는거같아요 :) 구매전 판고데기로 연출했는대 컬감은
비교도 안되게 물결고데기가 좋고요 !!
낮은 열감으로도 탱글함이 유지되는거같아요 :)
사진은 160°c에서 연출했어요!
두번정도 해보니깐 익숙해 지네요:)
단 간격주면서 연출해주는게 포인트네용ㅎㅎ
윗단 처음시작할때 안으로 들어간
:)
첫단은 꼭 살살잡고 해주세요 !
잘못하면 머리위에 자국찝히더라구요 ㅎㅎ",평점5
7,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"2주 정도 써봤는데 저같은 곰손도 물결 웨이브 쉽게 할 수 있어 좋아요. 다만 후덜덜하게 무겁긴 합니다 ㅠ ㅠ 그리고 머리 많이 잡으면 좀 인위적으로 보일 수 있어 적게 잡아서 했
2주 정도 써봤는데 저같은 곰손도 물결 웨이브 쉽게 할 수 있어 좋아요. 다만 후덜덜하게 무겁긴 합니다 ㅠ ㅠ 그리고 머리 많이 잡으면 좀 인위적으로 보일 수 있어 적게 잡아서 했어요~ 어차피 40미리는 벌어지는 틈도 좁아서 많이 못 넣으니 그 점은 감안하셔야. 다만 고데기 했더니 반응 굿입니다~ 그리고 컬을 좀더 탱글하게 만들고 오래가길 원하면 온도 높여서 하세요. 전 한번 하면 24시간 이상은 가네요~ 만족입니다! 조금 느슨하게 하고 싶으면 살살 집으면 됩니당.
(무게 때문에 별 반개 빼기엔 만족도가 너무 높아서 그냥 만점!)",평점5
8,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"백번 고민하다가 파마를 할 수 없는 머릿결이라 중요한 날만 하려고 구매했어요!첨엔 낮은 온도로 대충해보고 읭?싶어서 온도를 160과 180사이로 맞춰놓고 컬하나당 5초씩 기다렸다가
백번 고민하다가 파마를 할 수 없는 머릿결이라 중요한 날만 하려고 구매했어요!
첨엔 낮은 온도로 대충해보고 읭?싶어서 온도를 160과 180사이로 맞춰놓고 컬하나당 5초씩 기다렸다가 해봤는데 갓 히피펌하고 미용실을 나섰을 때처럼 펑키해요!(마음에 든다는 뜻)
해놓고 스프레이 약간 뿌려두면 유지력은 문제 없을듯해요🙂
저같은 똥손도 이렇게 할 정도면 웬만한 분들은 더 이쁘게 할 수 있을 것 같아요!
봉고데기랑 고민하다가 봉고데기는 머리는 물론 손까지 태워먹을 것 같아 물결고데기로 결정했는데 잘 결정했네요😚",평점5
9,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"좋아요
싼것도있어서 엄청고민하다가 판고데기가 보다나 거라서 이거 눈여겨보고있다가 구매합니다 살때 좋은게 오래쓰고 좋더라구요 보다나는 예열빠르고 질도좋아요 이물결고데기는하나 꼭알아두셔야할거있어요 왼손으로 하셔야해요 그래야 에스자로 나옵니다 오른손으로하면 거꾸로에스자라서 뿌리부분처음을시작할때 위로 올라오게 안됩니다 왜이렇게 만들었는지 첨엔의야했는데 써보니 오른손으로 머리잡고 정리하고하는게 맞는거같기도해서 조금연습하면 괜찮을듯해요",평점5
10,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"디자인도 일단 예쁘고 색상도 예쁘고 다 만족스럽습니다물결 고데기펌 일반고데기로도, 타사 제품으로도 해봤었는데 한번도 탱글한 예쁜 물결이 된적이 없어서 그냥 봉고데기로 항상 하고 다
디자인도 일단 예쁘고 색상도 예쁘고 다 만족스럽습니다
물결 고데기펌 일반고데기로도, 타사 제품으로도 해봤었는데 한번도 탱글한 예쁜 물결이 된적이 없어서 그냥 봉고데기로 항상 하고 다녔는데 이 제품은 확실히 가격 값을 해요!
일단 두께가 두꺼워서 굵지만 확실한 컬을 만들어주고 굵어서 더 자연스러워요!
다른 물결펌 고데기로 했을땐 뭔가 파마 하고 한달이상 지난듯한 부시시한 머리가 완성 되었는데 이건 확실히 손상이 적은건지 하고 나서도 윤기나고 예쁘게 물결이 만들어집니다 ㅎㅎ
좀 아쉬운 점은 온도 조절이 버튼식인데 20 도 단위로 설정된다는 점과 그 온도가 정확히 몇도인지 표시가 애매해요 ㅠㅠ
그것빼곤 다 만족합니다",평점5
11,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"꼭 사세요.너무 좋아요.두 달 전에 17,000원짜리저렴한 물결고데기 해외배송으로구입했었는데 사용도 힘들고 코팅도 안되어있어서 머리 다 상하고 겉에도 뜨거워서 손도 데이고 그랬거든
꼭 사세요.
너무 좋아요.

두 달 전에 17,000원짜리저렴한 물결고데기 해외배송으로
구입했었는데 사용도 힘들고 코팅도 안되어있어서 머리 다 상하고 겉에도 뜨거워서 손도 데이고 그랬거든요.
그래서 안쓰고 당근행.

이 번에 보다나 알게되어서 고민하다가 샀는데 진짜 쓰던거랑 차원이 다르네요.
그닥 무겁지 않아요.
머리카락 양을 조금씩 집는것 보다 많이씩 집는게 더 예쁘게 되는 것 같아요.
암튼 대만족^^",평점5
12,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"장점은~진짜 미용실에서 해주는 웨이브
장점은~진짜 미용실에서 해주는 웨이브를 집에서도 할수 있다는게 넘 좋았어요~~
단점은~제가 손목이 안조아서 인지 손목에 무리가 가는것같은 조금 무겁게 느껴지네요.
익숙해질때까지 연습해서 이뿌게 하고 다닌께요.
기간이지나 장갑못받은게! 못내 아쉽습니다.초짜.처음 해서 두번 디어서 장갑이 이래서 필요하구나 ㅠ 미리살껄 하는 후회.듭니다.",평점5
13,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"이거하면 얼굴형이 보완되서 더 어려보여요! 대신 너무발랄해보여서 드레스업한 날엔 쫌 안어울리긴해요ㅋㅋ 웨이브 잘 나오고 기계 자체가 무게감 있긴한데 머리하다 팔이 아플정돈 전혀 이
이거하면 얼굴형이 보완되서 더 어려보여요! 대신 너무발랄해보여서 드레스업한 날엔 쫌 안어울리긴해요ㅋㅋ 웨이브 잘 나오고 기계 자체가 무게감 있긴한데 머리하다 팔이 아플정돈 전혀 이니에요. 무게땜에 고민할 필욘 없는듯ㅎ 암튼 일반 봉고데기 쓰다가 이거 쓰니 기분전환되고 좋아요!",평점5
14,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"딱한번 사용해본거라 약간 고데기하면서 어색하고 이어지게 다시 잡는게 잘 안되는것도 같고 그런데 연습하다보면 잘 되겠죠?ㅎㅎ관심있었는데 마침 9주년방송에 할인도 해서 이때다싶어 구매
딱한번 사용해본거라 약간 고데기하면서 어색하고 이어지게 다시 잡는게 잘 안되는것도 같고 그런데 연습하다보면 잘 되겠죠?ㅎㅎ
관심있었는데 마침 9주년방송에 할인도 해서 이때다싶어 구매해봤어요
보다나는 고데기품질도 그렇지만 타제품과 다르게 예쁘기도 해서 좋아요",평점5
15,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"최고예요
똥손이라 솔직히 사보고 별로면 당근하려고했는데이쁘고 자연스럽게 잘되네요얇은모발 140도로 잡아줬더니 이뻐요~~뒤통수는 안보여서 하기힘들지만 컬이크기때문에 이상하진않아용뿌리쪽부터하고 머리묶어도 이뻐요참고로 동영상은 고데기하고 한참뒤에 모습입니당~~",평점5
16,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"웨이브 자체는 정말 잘 나오고 사용법도 간편해서 좋아요! 처음엔 생각보다 가벼워서 가볍다고 생각했는데 한번하고 나면 팔이 너무 아파요ㅠㅠ쓰다보니 무거운게 느껴지네요 한쪽하고 쉬었다
웨이브 자체는 정말 잘 나오고 사용법도 간편해서 좋아요! 처음엔 생각보다 가벼워서 가볍다고 생각했는데 한번하고 나면 팔이 너무 아파요ㅠㅠ쓰다보니 무거운게 느껴지네요 한쪽하고 쉬었다가 한쪽하고 시간이 꽤 오래 걸립니다! 가끔 스타일에 변화를 주는게 목적이라면 강강강추입니당",평점5
17,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"최고예요
간편하고 빠르게 물결펌을 만들 수 있다는 게 장점이에요! 무겁단 얘기가 많아서 고민도 많이 하고 샀는데 생각보다 그렇게 무겁다고 느끼진 않았네요 :)바쁜 아침에도 빠르게 사용할 수 있지만 숱이 많으신 분들한텐 좀 힘들 수도 있겠다 생각했어요 << 바로 저 ^^.. 그래도 원했던 컬이 나와서 다행이에요!",평점5
18,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"앵간한 거 다 써봤지만 드디어 ! 곰손을 구제해줄 템을 만났네요. 제가 제일 좋아하는 색깔이기도 하고 너무 예뻐요 보다나 민트색 판고데기랑 같이 가지고 있으니까 세상행복 ㅠ왜 안산
앵간한 거 다 써봤지만 드디어 ! 곰손을 구제해줄 템을 만났네요. 제가 제일 좋아하는 색깔이기도 하고 너무 예뻐요 보다나 민트색 판고데기랑 같이 가지고 있으니까 세상행복 ㅠ왜 안산지 모르겠어요 히피펌 #가능~~(샵가능💙🥰)",평점5
19,보다나 트리플 플로우 물결 고데기 크리미블루 40형,별점,"최고예요
일단 거의 8만원가까이 하던 제품 5만원에 사서 좋았고 성능 만족함다. 32도 좀 빠글거리는 편인거같아서 40했는데 만족해요. 보다나 봉고데기36있는데 개인적으로 물결고데기가 아마추어들이 하기엔 훨 편한거같아요. 마음에 안들면 당근하려고했는？Vㅋㅋ그냥 계속 두고 쓸거같네요. 단점은 무겁습니다. 그리고 일단 고데기가 커요. 휴대하긴 어려울드슈ㅠㅠ어디 들고가서 할수있으려나..무게도 무거워여..집에서만 놓고 쓸수있겠어요. 아 숱 적당히 좀 있는편인데 세미 해그리드 느낌정도예요. 근데 나쁘지않네요. ㅋㅋㅋㅋㅋㅋ그냥 제눈에 예뻐보임 장땡이죠 뭐",평점5
