,연도,팀명,G,W,D,L,WPCT,R,R(A),RD,WIN,POST,AVG,PA,AB,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ERA,SV,HLD,HA,HR(A),BB(A),HBP(A),K,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG(A),2B(A),3B(A),GDP(A),SAC(A),IBB(A),WP,BK,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,SBA(R),SB(R),CS(R),SB(R)%,OOB,PKO(R)
122,2015,삼성,144,88,0,56,0.611,897,716,181,N,Y,0.302,5803,5019,1515,259,25,176,2352,850,76,57,581,21,70,930,109,0.469,0.378,0.847,143,0.311,0.239,4.69,34,60,1323,182,423,64,1194,665,1.37,4,7,75,10,5523,21832,0.268,270,17,67,37,11,44,2,96,9,3826,1304,104,0.982,8,80,49,38,209,157,52,75.1,60,6
123,2015,한화,144,68,0,76,0.472,717,800,-83,N,N,0.271,5716,4852,1316,218,19,130,1962,667,139,35,581,33,109,1135,112,0.404,0.36,0.764,144,0.269,0.207,5.11,32,44,1349,157,648,96,920,727,1.56,5,7,37,14,5771,22825,0.275,232,12,82,45,38,85,9,105,9,3839,1582,145,0.981,14,165,63,27.6,127,80,47,63,57,14
124,2016,KIA,144,70,1,73,0.49,803,785,18,N,Y,0.286,5696,4999,1429,264,28,170,2259,754,66,45,499,12,87,997,109,0.452,0.358,0.81,144,0.288,0.286,4.97,38,74,1456,131,561,59,965,705,1.58,7,5,58,21,5771,22527,0.29,230,23,75,54,18,69,7,111,10,3828,1441,139,0.979,4,136,49,26.5,151,101,50,66.9,52,12
125,2016,KT,144,53,2,89,0.373,672,927,-255,N,N,0.276,5620,4963,1369,214,11,116,1953,639,65,45,499,7,48,933,130,0.394,0.345,0.739,144,0.278,0.22,5.92,27,48,1593,145,560,84,980,838,1.69,1,2,38,15,5896,23328,0.31,315,38,73,45,9,77,9,130,5,3819,1550,151,0.976,11,115,55,32.4,142,96,46,67.6,58,11
126,2016,LG,144,71,2,71,0.5,786,807,-21,N,Y,0.29,5765,5051,1464,238,26,118,2108,744,65,54,523,10,72,982,92,0.417,0.361,0.778,143,0.286,0.236,5.04,34,75,1426,122,539,109,909,721,1.53,2,5,53,16,5782,22100,0.284,243,23,64,56,27,84,1,103,12,3863,1580,139,0.981,9,80,49,38,191,121,70,63.4,70,13
127,2016,NC,144,83,3,58,0.589,857,690,167,N,Y,0.291,5833,5007,1457,249,19,169,2251,808,70,52,609,18,93,1023,133,0.45,0.375,0.825,143,0.302,0.239,4.48,36,62,1314,137,516,86,1147,640,1.42,0,10,42,13,5643,22029,0.266,208,18,53,40,2,84,7,100,4,3859,1430,136,0.981,3,70,43,38.1,140,99,41,70.7,48,3
128,2016,SK,144,69,0,75,0.479,753,784,-31,N,N,0.291,5672,5023,1464,234,19,182,2282,715,71,47,429,13,102,1018,104,0.454,0.356,0.81,142,0.276,0.299,4.87,31,43,1386,151,527,76,945,689,1.5,1,5,60,12,5659,21558,0.28,232,22,61,48,18,65,7,123,7,3822,1691,149,0.978,4,106,64,37.6,149,89,60,59.7,71,8
129,2016,넥센,144,77,1,66,0.538,813,757,56,N,Y,0.293,5702,4990,1464,254,39,134,2198,765,34,59,556,17,63,956,121,0.44,0.368,0.808,144,0.306,0.244,4.96,38,74,1487,152,435,68,895,705,1.5,0,4,45,17,5684,21627,0.294,249,27,66,59,3,50,3,94,8,3841,1460,121,0.983,11,98,60,38,237,154,83,65,56,11
130,2016,두산,144,93,1,50,0.65,935,682,253,Y,Y,0.298,5841,5044,1504,284,25,183,2387,877,43,68,600,11,86,884,121,0.473,0.378,0.851,144,0.305,0.261,4.45,36,55,1385,136,498,77,982,636,1.46,2,7,75,15,5658,22155,0.279,246,30,59,51,7,66,4,79,8,3863,1522,160,0.986,4,82,44,34.9,130,85,45,65.4,64,4
131,2016,롯데,144,66,0,78,0.458,777,865,-88,N,N,0.288,5784,5001,1439,252,20,127,2112,732,62,41,596,18,83,1061,120,0.422,0.37,0.792,144,0.285,0.251,5.63,27,59,1486,161,585,78,1009,792,1.64,2,5,50,18,5785,22761,0.297,276,32,60,52,27,82,5,91,14,3799,1545,142,0.983,14,90,59,39.6,209,145,64,69.4,55,10
132,2016,삼성,144,65,1,78,0.455,852,869,-17,N,N,0.293,5863,5093,1492,249,34,142,2235,792,88,55,552,15,75,864,119,0.439,0.367,0.806,144,0.298,0.221,5.64,34,60,1507,193,518,87,935,804,1.58,2,4,49,18,5799,22623,0.296,251,20,59,43,6,52,8,90,12,3847,1410,140,0.983,8,115,58,33.5,154,104,50,67.5,51,5
133,2016,한화,144,66,3,75,0.468,826,908,-82,N,N,0.289,5838,5109,1478,242,27,142,2200,787,87,41,510,19,91,1025,123,0.431,0.362,0.793,144,0.301,0.28,5.76,24,39,1520,155,634,76,976,827,1.67,1,2,25,13,5937,23157,0.299,230,15,81,59,23,72,6,124,7,3878,1497,152,0.977,8,124,66,34.7,102,64,38,62.7,58,10
134,2017,KIA,144,87,1,56,0.608,906,743,163,Y,Y,0.302,5841,5142,1554,292,29,170,2414,868,55,56,499,19,89,891,117,0.469,0.37,0.839,144,0.324,0.254,4.79,33,46,1518,137,434,77,985,687,1.51,5,5,75,18,5748,22223,0.295,255,21,52,46,22,69,4,98,4,3870,1498,153,0.982,12,69,45,39.5,110,76,34,69.1,46,8
135,2017,KT,144,50,0,94,0.347,655,876,-221,N,N,0.275,5485,4937,1360,274,17,119,2025,625,62,45,374,11,66,1017,118,0.41,0.332,0.742,144,0.29,0.239,5.75,22,41,1524,174,433,95,913,803,1.56,4,7,49,18,5702,21518,0.301,283,27,68,49,11,77,6,112,6,3768,1460,134,0.979,10,109,43,28.3,137,86,51,62.8,54,8
136,2017,LG,144,69,3,72,0.489,699,677,22,N,N,0.281,5614,4944,1390,216,20,110,1976,663,76,55,438,17,101,1021,123,0.4,0.348,0.748,144,0.295,0.217,4.3,32,66,1305,124,379,102,1040,611,1.32,4,6,62,18,5507,21107,0.266,249,29,57,54,31,81,3,103,12,3837,1434,127,0.981,9,62,37,37.4,133,77,56,57.9,50,9
137,2017,NC,144,79,3,62,0.56,786,745,41,N,Y,0.293,5790,5079,1489,277,19,149,2251,739,62,48,471,19,130,979,119,0.443,0.365,0.808,144,0.292,0.249,4.71,32,51,1342,169,470,93,1097,673,1.41,1,10,48,11,5640,22176,0.269,208,9,63,29,12,93,3,108,4,3854,1432,134,0.98,4,64,42,39.6,125,93,32,74.4,59,7
138,2017,SK,144,75,1,68,0.524,761,767,-6,N,Y,0.271,5564,4925,1337,222,15,234,2291,733,57,41,427,20,113,1100,97,0.465,0.341,0.806,144,0.273,0.237,5.02,30,64,1443,154,481,105,940,709,1.51,2,4,57,24,5692,21752,0.288,271,17,58,36,35,61,7,108,15,3812,1552,139,0.98,8,80,39,32.8,95,53,42,55.8,33,7
139,2017,넥센,144,69,2,73,0.486,789,764,25,N,N,0.29,5712,5098,1479,267,30,141,2229,748,21,42,468,15,83,1066,129,0.437,0.357,0.794,144,0.29,0.23,5.03,40,66,1488,149,388,97,1005,710,1.48,2,5,60,18,5663,21258,0.292,280,21,47,40,10,56,3,91,7,3813,1424,125,0.983,8,73,43,37.1,104,70,34,67.3,55,2
140,2017,두산,144,84,3,57,0.596,849,678,171,N,Y,0.294,5833,5102,1499,270,20,178,2343,812,48,47,541,19,95,960,120,0.459,0.369,0.828,144,0.296,0.2,4.38,35,46,1405,125,464,87,956,627,1.45,3,9,69,13,5682,22169,0.28,234,31,77,39,11,54,4,90,9,3864,1468,138,0.983,5,64,36,36,102,69,33,67.6,36,8
141,2017,롯데,144,80,2,62,0.563,743,701,42,N,Y,0.285,5671,4994,1425,250,17,151,2162,697,76,32,457,33,112,1018,146,0.433,0.356,0.789,144,0.28,0.229,4.56,39,59,1357,162,477,79,1096,652,1.42,1,10,61,21,5634,21978,0.273,245,20,51,50,25,67,7,86,10,3862,1514,132,0.984,14,87,45,34.1,136,92,44,67.6,52,10
142,2017,삼성,144,55,5,84,0.396,757,911,-154,N,N,0.279,5707,5095,1419,255,36,145,2181,703,58,55,429,17,70,983,97,0.428,0.34,0.768,144,0.285,0.22,5.88,27,34,1541,187,548,118,1063,837,1.63,1,3,43,12,5916,23196,0.3,281,28,56,59,15,74,4,95,6,3844,1454,152,0.982,14,64,35,35.4,135,98,37,72.6,53,6
143,2017,한화,144,61,2,81,0.43,737,820,-83,N,N,0.287,5665,5030,1445,261,16,150,2188,684,85,38,416,15,94,974,112,0.435,0.35,0.785,144,0.29,0.281,5.28,31,49,1474,166,446,100,914,747,1.51,1,5,54,21,5698,22066,0.293,278,16,71,57,13,77,4,91,4,3819,1500,151,0.983,11,78,42,35,108,64,44,59.3,58,12
144,2018,KIA,144,70,0,74,0.486,865,826,39,N,Y,0.295,5744,5036,1487,258,22,170,2299,823,56,50,503,27,99,905,135,0.457,0.367,0.824,144,0.302,0.207,5.4,26,43,1511,181,445,69,1017,763,1.54,4,5,50,20,5708,21852,0.297,271,17,47,51,28,65,3,94,8,3812,1371,127,0.982,11,95,40,29.6,125,88,37,70.4,53,6
145,2018,KT,144,59,3,82,0.418,757,834,-77,N,N,0.275,5605,5026,1382,264,13,206,2290,721,43,26,464,14,46,1109,103,0.456,0.34,0.796,144,0.273,0.262,5.34,24,45,1580,194,409,84,1025,756,1.56,4,5,59,18,5743,21948,0.307,272,23,56,43,25,63,1,99,9,3823,1502,161,0.982,21,99,42,29.8,137,80,57,58.4,63,7
146,2018,LG,144,68,1,75,0.476,788,816,-28,N,N,0.293,5665,5070,1487,299,12,148,2254,740,51,51,418,14,75,1001,125,0.445,0.353,0.798,144,0.307,0.245,5.29,29,43,1434,159,453,89,1058,746,1.49,3,7,64,17,5677,21711,0.285,266,19,45,50,13,72,4,100,7,3806,1404,121,0.981,10,100,41,29.1,109,71,38,65.1,48,7
147,2018,NC,144,58,1,85,0.406,660,844,-184,N,N,0.261,5488,4895,1280,233,18,143,1978,629,35,43,427,15,88,1081,115,0.404,0.329,0.733,143,0.268,0.284,5.48,24,51,1443,186,537,68,1010,769,1.57,1,4,45,20,5701,22506,0.289,248,20,45,51,17,92,6,107,7,3792,1401,141,0.98,19,86,46,34.8,117,82,35,70.1,48,8
148,2018,SK,144,78,1,65,0.545,829,729,100,Y,Y,0.281,5682,4992,1403,234,13,233,2362,791,54,34,483,6,119,1079,103,0.473,0.356,0.829,144,0.288,0.241,4.67,29,63,1353,189,425,74,1130,662,1.39,0,7,60,21,5563,21347,0.271,232,17,39,24,15,62,2,116,6,3824,1434,133,0.978,6,95,39,29.1,147,108,39,73.5,51,10
149,2018,넥센,144,75,0,69,0.521,825,780,45,N,Y,0.288,5780,5141,1481,288,19,165,2302,787,32,50,472,25,85,1208,93,0.448,0.355,0.803,144,0.296,0.265,5.08,32,72,1442,178,416,98,1021,723,1.45,4,2,63,23,5646,21381,0.285,252,18,41,33,13,59,4,106,16,3846,1506,147,0.981,7,70,39,35.8,134,101,33,75.4,45,6
150,2018,두산,144,93,0,51,0.646,944,756,188,N,Y,0.309,5870,5176,1601,284,30,191,2518,898,43,63,496,16,92,1016,112,0.486,0.376,0.862,144,0.317,0.263,4.98,41,56,1401,154,476,109,1025,713,1.46,1,9,73,17,5700,21946,0.279,266,16,42,43,17,72,2,77,2,3866,1403,147,0.986,8,68,43,38.7,119,96,23,80.7,54,7
151,2018,롯데,144,68,2,74,0.479,821,846,-25,N,N,0.289,5764,5130,1484,289,17,203,2416,792,45,37,471,22,81,1157,124,0.471,0.356,0.827,144,0.29,0.25,5.37,29,64,1410,166,548,73,1164,766,1.53,0,6,43,22,5788,22871,0.279,295,26,63,43,23,65,7,117,5,3851,1426,132,0.978,14,101,41,28.9,100,68,32,68,46,10
152,2018,삼성,144,68,4,72,0.486,776,802,-26,N,N,0.288,5766,5109,1471,241,29,146,2208,732,57,45,468,14,87,1034,115,0.432,0.355,0.787,144,0.282,0.237,5.19,33,56,1477,185,441,107,1114,741,1.49,0,5,58,17,5740,22530,0.289,291,18,40,43,10,45,5,79,5,3856,1337,133,0.985,7,100,38,27.5,168,116,52,69,46,4
153,2018,한화,144,77,0,67,0.535,729,761,-32,N,Y,0.275,5539,4972,1369,249,14,151,2099,668,31,28,420,17,88,1098,113,0.422,0.341,0.763,144,0.283,0.231,4.93,37,62,1394,164,472,89,1124,698,1.46,0,5,45,13,5637,22342,0.279,246,13,29,46,9,78,7,99,10,3822,1397,141,0.981,11,83,41,33.1,182,118,64,64.8,58,10
154,2019,KIA,144,62,2,80,0.437,605,723,-118,N,N,0.264,5505,4874,1286,248,19,76,1800,567,31,45,497,13,58,919,108,0.369,0.336,0.705,144,0.256,0.19,4.65,30,64,1362,101,504,76,976,653,1.48,3,11,59,13,5614,21353,0.276,257,24,35,61,17,51,2,110,5,3792,1381,126,0.979,9,116,50,30.1,129,87,42,67.4,61,7
155,2019,KT,144,71,2,71,0.5,650,661,-11,N,N,0.277,5582,4965,1375,187,20,103,1911,615,45,45,475,15,52,975,113,0.385,0.344,0.729,144,0.27,0.218,4.29,37,59,1303,118,481,61,848,608,1.4,2,10,62,9,5533,20662,0.266,225,25,47,42,17,50,6,102,7,3831,1479,137,0.981,15,90,43,32.3,148,104,44,70.3,58,8
156,2019,LG,144,79,1,64,0.552,641,633,8,N,Y,0.267,5536,4928,1316,233,15,94,1861,604,49,48,434,17,77,962,117,0.378,0.333,0.711,144,0.265,0.222,3.86,43,62,1257,89,499,91,953,551,1.37,1,9,73,13,5555,20969,0.258,223,23,40,48,15,64,1,95,6,3850,1507,139,0.983,7,115,41,26.3,155,108,47,69.7,38,6
157,2019,NC,144,73,2,69,0.514,674,631,43,N,Y,0.278,5631,4968,1383,249,26,128,2068,639,64,60,456,14,83,880,126,0.416,0.345,0.761,144,0.266,0.179,4.01,32,68,1285,103,483,92,991,572,1.38,5,8,60,17,5578,21407,0.262,199,19,41,54,10,68,2,95,6,3853,1477,130,0.982,4,64,49,43.4,132,87,45,65.9,53,7
158,2019,SK,144,88,1,55,0.615,655,546,109,N,Y,0.262,5542,4919,1290,218,14,117,1887,622,35,38,462,20,87,966,92,0.384,0.334,0.718,144,0.278,0.252,3.48,51,92,1240,99,436,50,1092,500,1.3,0,19,78,8,5463,20930,0.254,176,14,48,44,12,50,4,87,9,3877,1416,131,0.984,3,105,31,22.8,168,118,50,70.2,51,12
159,2019,두산,144,88,1,55,0.615,736,550,186,Y,Y,0.278,5670,4913,1364,235,31,84,1913,691,39,83,563,16,72,799,117,0.389,0.355,0.744,144,0.277,0.202,3.51,44,69,1259,78,380,70,860,500,1.28,3,10,81,16,5434,20630,0.257,231,22,41,53,22,48,5,83,8,3851,1430,131,0.985,6,96,32,25,140,102,38,72.9,59,7
160,2019,롯데,144,48,3,93,0.34,578,764,-186,N,N,0.25,5488,4919,1231,214,22,90,1759,545,35,40,429,12,65,1085,108,0.358,0.316,0.674,144,0.25,0.193,4.83,16,47,1407,120,546,71,1033,682,1.54,1,8,47,17,5729,21946,0.282,242,20,58,64,33,103,4,114,8,3813,1432,131,0.979,11,91,44,32.6,96,65,31,67.7,49,8
161,2019,삼성,144,60,1,83,0.42,622,731,-109,N,N,0.256,5533,4866,1245,230,26,122,1893,598,58,53,478,15,78,976,107,0.389,0.329,0.718,143,0.254,0.204,4.64,29,60,1332,125,523,70,924,658,1.45,4,8,54,15,5638,21721,0.269,253,37,40,56,9,49,5,105,4,3826,1370,132,0.98,9,90,38,29.7,149,107,42,71.8,45,7
162,2019,키움,144,86,1,57,0.601,780,572,208,N,Y,0.282,5658,4991,1405,251,38,112,2068,741,36,48,514,13,69,943,122,0.414,0.354,0.768,144,0.3,0.276,3.61,39,91,1293,61,371,58,984,513,1.3,2,12,76,11,5427,20160,0.263,244,24,42,39,3,45,6,99,13,3837,1509,128,0.982,6,92,46,33.3,143,110,33,76.9,37,6
163,2019,한화,144,58,0,86,0.403,607,737,-130,N,N,0.256,5482,4882,1250,223,16,88,1769,562,44,45,441,12,70,1090,112,0.362,0.324,0.686,143,0.255,0.187,4.8,28,43,1407,120,526,72,934,677,1.52,2,8,48,17,5656,21848,0.283,238,19,44,44,9,66,4,106,8,3806,1488,151,0.98,10,104,49,32,156,105,51,67.3,51,6
164,2020,KIA,144,73,0,71,0.507,724,795,-71,N,N,0.274,5642,4937,1355,224,13,130,1995,692,63,38,535,10,69,957,114,0.404,0.351,0.755,144,0.284,0.258,5.13,33,79,1399,120,559,70,1038,724,1.54,1,5,57,18,5681,22134,0.284,265,34,59,59,8,78,4,100,7,3810,1480,169,0.981,10,82,46,35.9,72,47,25,65.3,47,6
165,2020,KT,144,81,1,62,0.566,813,715,98,N,Y,0.284,5762,5047,1432,238,21,163,2201,767,64,45,554,20,52,1097,104,0.436,0.358,0.794,144,0.289,0.192,4.54,33,71,1357,118,523,59,848,651,1.46,0,5,56,23,5680,21496,0.271,227,9,45,48,20,75,1,102,4,3871,1486,154,0.981,10,75,21,21.9,156,106,50,67.9,49,6
166,2020,LG,144,79,4,61,0.564,802,694,108,N,Y,0.277,5681,4999,1384,253,29,149,2142,760,49,49,509,21,75,969,115,0.428,0.349,0.777,144,0.31,0.223,4.37,29,67,1344,123,493,86,1019,627,1.42,2,13,70,19,5655,21725,0.27,240,17,38,56,12,49,4,80,6,3878,1460,156,0.985,9,89,36,28.8,122,83,39,68,64,5
167,2020,NC,144,83,6,55,0.601,888,714,174,Y,Y,0.291,5833,5102,1483,258,28,187,2358,845,46,51,529,21,104,997,106,0.462,0.366,0.828,144,0.33,0.286,4.58,31,88,1292,153,547,79,1049,660,1.42,0,7,59,19,5690,22362,0.26,199,15,53,35,10,65,7,87,9,3890,1294,120,0.983,10,49,42,46.2,139,101,38,72.7,49,7
168,2020,SK,144,51,1,92,0.357,634,846,-212,N,N,0.25,5502,4839,1212,177,17,143,1852,595,49,34,511,18,69,981,112,0.383,0.329,0.712,144,0.254,0.203,5.57,20,53,1343,162,670,84,953,780,1.6,1,3,47,19,5727,22729,0.275,225,17,41,46,12,85,5,99,6,3778,1326,139,0.981,6,129,57,30.6,126,81,45,64.3,44,16
169,2020,두산,144,79,4,61,0.564,816,695,121,N,Y,0.293,5776,5046,1477,263,20,125,2155,778,38,73,551,20,68,796,132,0.427,0.365,0.792,142,0.291,0.246,4.31,23,45,1395,109,478,61,1046,616,1.46,1,13,63,15,5681,22408,0.276,258,25,48,41,22,52,4,85,10,3857,1282,126,0.984,6,91,25,21.6,125,88,37,70.4,63,4
170,2020,롯데,144,71,1,72,0.497,750,720,30,N,N,0.276,5669,4958,1366,252,6,131,2023,711,39,48,569,18,55,875,148,0.408,0.353,0.761,144,0.283,0.216,4.64,25,59,1351,143,447,58,1002,659,1.41,1,16,59,18,5583,21520,0.271,241,17,51,40,25,62,4,94,3,3832,1444,124,0.982,7,95,28,22.8,121,90,31,74.4,52,3
171,2020,삼성,144,64,5,75,0.46,699,745,-46,N,N,0.268,5574,4923,1317,211,12,129,1939,658,50,53,486,10,62,990,117,0.394,0.338,0.732,144,0.272,0.26,4.78,25,80,1330,151,542,67,931,676,1.47,3,11,53,19,5634,22269,0.27,222,16,50,47,16,55,5,102,9,3817,1310,126,0.98,6,57,38,40,181,132,49,72.9,42,14
172,2020,키움,144,80,1,63,0.559,759,692,67,N,Y,0.269,5721,4945,1332,254,25,127,2017,713,43,52,608,16,73,1030,107,0.408,0.355,0.763,144,0.281,0.211,4.39,42,81,1336,126,446,73,950,624,1.39,0,6,53,18,5556,21349,0.27,208,15,50,39,16,51,7,112,15,3841,1544,143,0.98,8,87,39,31,140,113,27,80.7,40,11
173,2020,한화,144,46,3,95,0.326,551,820,-269,N,N,0.245,5483,4862,1189,195,12,79,1645,523,45,25,462,9,89,1163,119,0.338,0.32,0.658,144,0.245,0.22,5.28,21,54,1400,158,609,79,1019,742,1.59,1,6,40,15,5756,22882,0.282,240,18,51,57,22,76,5,100,7,3795,1279,133,0.981,10,120,45,27.3,87,51,36,58.6,43,4
174,2021,KIA,144,58,10,76,0.433,568,752,-184,N,N,0.248,5577,4831,1198,183,21,66,1621,546,41,37,595,16,73,921,119,0.336,0.337,0.673,143,0.263,0.203,4.89,36,94,1286,134,622,104,951,690,1.5,1,6,39,16,5701,22375,0.265,214,16,58,63,5,59,9,110,9,3807,1368,139,0.979,10,92,43,31.9,104,73,31,70.2,46,8
175,2021,KT,144,76,9,59,0.563,719,584,135,Y,Y,0.265,5627,4810,1276,219,11,106,1835,673,69,44,645,27,58,1047,105,0.381,0.356,0.737,142,0.27,0.224,3.67,33,74,1176,86,489,42,1062,515,1.32,2,6,76,16,5397,20893,0.246,184,13,46,48,18,56,1,112,7,3792,1466,133,0.979,7,93,31,25,158,112,46,70.9,50,6
176,2021,LG,144,72,14,58,0.554,654,561,93,N,Y,0.25,5533,4750,1188,210,11,110,1750,621,52,45,592,16,94,926,102,0.368,0.342,0.71,143,0.253,0.269,3.57,32,81,1126,80,545,98,1068,505,1.31,0,18,50,14,5453,21456,0.238,197,18,45,43,18,43,5,91,4,3817,1481,147,0.983,12,98,40,29,126,92,34,73,43,15
177,2021,NC,144,67,9,68,0.496,702,697,5,N,N,0.261,5532,4808,1254,203,17,170,2001,670,59,43,511,14,111,1093,94,0.416,0.343,0.759,143,0.26,0.224,4.54,33,80,1268,125,592,77,1055,634,1.48,3,10,53,18,5622,22346,0.26,231,15,34,41,14,75,8,111,4,3770,1292,105,0.979,5,84,40,32.3,147,101,46,68.7,39,9
178,2021,SSG,144,66,14,64,0.508,755,741,14,N,N,0.261,5736,4899,1278,204,13,185,2063,712,55,52,637,23,93,1056,106,0.421,0.353,0.774,143,0.261,0.259,4.82,25,56,1296,149,629,78,1012,684,1.51,0,5,42,24,5706,22459,0.265,214,14,54,50,27,41,9,102,14,3830,1409,123,0.981,12,105,46,30.5,143,100,43,69.9,42,3
179,2021,두산,144,71,8,65,0.522,738,656,82,N,Y,0.268,5645,4900,1314,235,17,110,1913,698,46,53,560,13,86,943,137,0.39,0.35,0.74,143,0.29,0.259,4.26,28,61,1295,104,587,73,1045,601,1.48,2,10,55,15,5631,22163,0.267,212,21,61,61,16,52,7,89,8,3808,1296,120,0.983,10,83,48,36.6,118,81,37,68.6,48,11
180,2021,롯데,144,65,8,71,0.478,727,808,-81,N,N,0.278,5726,5009,1393,266,10,107,2000,697,38,46,579,19,54,969,114,0.399,0.356,0.755,144,0.286,0.253,5.37,37,76,1333,133,659,87,1054,758,1.57,1,12,46,15,5759,22835,0.271,253,16,53,40,19,102,5,85,9,3813,1403,123,0.984,8,101,44,30.3,91,60,31,65.9,54,8
181,2021,삼성,144,76,9,59,0.563,712,658,54,N,Y,0.267,5552,4836,1292,204,18,133,1931,669,48,68,545,21,55,902,98,0.399,0.344,0.743,144,0.265,0.213,4.3,46,80,1297,131,530,51,1038,601,1.45,2,14,66,13,5536,21926,0.266,230,24,45,36,13,58,3,88,6,3777,1335,130,0.983,5,61,26,29.9,160,116,44,72.5,47,7
182,2021,키움,144,70,7,67,0.511,722,700,22,N,Y,0.259,5653,4874,1262,244,28,91,1835,671,35,56,595,17,93,1053,93,0.376,0.347,0.723,143,0.279,0.227,4.31,30,56,1281,101,566,80,900,605,1.46,1,7,57,16,5599,21670,0.264,223,7,55,48,27,59,4,129,14,3790,1532,152,0.976,5,85,35,29.2,123,97,26,78.9,39,3
183,2021,한화,144,49,12,83,0.371,599,739,-140,N,N,0.237,5495,4685,1111,213,17,80,1598,554,54,49,633,14,74,1286,110,0.341,0.334,0.675,143,0.248,0.195,4.65,21,62,1208,115,673,101,1011,650,1.49,1,6,41,19,5672,22852,0.252,223,19,46,63,23,56,11,120,7,3776,1262,121,0.977,7,111,41,27,165,109,56,66.1,59,14
